#Total No. of Collocate Types: 212
#Total No. of Collocate Tokens: 1565
1	98	67	31	2.32861	и
2	66	49	17	2.15294	вот
3	60	50	10	2.56047	ну
4	54	26	28	1.51825	я
5	54	25	29	3.62259	так
6	51	16	35	3.21820	этот
7	51	39	12	1.90554	а
8	42	39	3	2.06783	да
9	41	19	22	2.48109	как
10	40	16	24	1.92660	это
11	34	32	2	1.22181	быть
12	30	22	8	1.35506	что
13	29	11	18	0.88976	в
14	24	12	12	1.56905	на
15	23	14	9	2.66880	ээ
16	23	22	1	0.88284	то
17	22	13	9	1.42410	мы
18	20	15	5	0.54117	не
19	19	8	11	1.40194	у
20	19	9	10	2.38445	такой
21	18	6	12	1.50158	он
22	18	15	3	2.48181	знать
23	18	6	12	1.54706	вы
24	18	10	8	1.96039	все
25	17	5	12	1.59340	там
26	16	13	3	1.98800	говорить
27	15	7	8	1.78183	они
28	13	7	6	1.56814	она
29	12	5	7	0.93162	с
30	11	5	6	3.32714	щас
31	11	4	7	2.59595	тут
32	10	6	4	2.11924	сказать
33	10	9	1	2.11924	который
34	10	3	7	2.49364	если
35	8	5	3	1.73020	э
36	8	4	4	0.88220	ты
37	8	6	2	1.35169	нрзб
38	8	2	6	1.19868	какой
39	8	7	1	2.17171	аа
40	7	4	3	1.13901	уже
41	7	6	1	2.67506	раз
42	7	4	3	0.92660	по
43	7	3	4	1.63241	мочь
44	7	3	4	1.85948	кто
45	7	3	4	1.59099	к
46	7	2	5	2.01513	здесь
47	7	4	3	1.92660	еще
48	7	7	0	3.41202	дом
49	7	7	0	0.99699	год
50	6	3	3	1.27634	эээ
51	6	4	2	2.11924	только
52	6	5	1	3.14233	сидеть
53	6	2	4	2.26363	сейчас
54	6	5	1	2.67026	почему
55	6	6	0	1.72148	нет
56	6	6	0	2.11924	жить
57	6	4	2	0.77459	весь
58	5	3	2	0.97551	человек
59	5	1	4	3.92660	це
60	5	1	4	1.66356	один
61	5	2	3	2.21878	о
62	5	3	2	1.54809	мой
63	5	1	4	2.21878	мм
64	5	3	2	2.27890	идти
65	5	1	4	1.34163	за
66	5	2	3	2.44117	даже
67	5	5	0	1.51156	где
68	5	5	0	1.05213	бы
69	4	3	1	2.38228	чтобы
70	4	4	0	3.42410	цена
71	4	3	1	2.26363	хотеть
72	4	4	0	1.60467	ходить
73	4	3	1	4.05213	сын
74	4	3	1	2.81112	смотреть
75	4	4	0	2.65358	рассказать
76	4	2	2	4.18963	пруд
